difficoltà,domanda,risposta,row_id,result,Usage
Easy,Quali sono i piatti che includono le Chocobo Wings come ingrediente?,Galassia di Sapori: Il Viaggio Senza Tempo,1,78,Private
Easy,Quali piatti dovrei scegliere per un banchetto a tema magico che includa le celebri Cioccorane?,Sinfonia Cosmica: Versione Pizza,2,225,Public
Easy,Quali sono i piatti della galassia che contengono Latte+?,Pizza Cosmica all'Essenza di Drago con Nebbia Arcobaleno e Funghi Orbitali,3,156,Private
Easy,Quali piatti contengono i Ravioli al Vaporeon?,Sinfonia Cosmica di Sapore,4,215,Public
Easy,Quali sono i piatti che includono i Sashimi di Magikarp?,Il Rapsodo Celestiale,5,94,Private
Easy,"Quali piatti sono accompagnati dai misteriosi Frutti del Diavolo, che donano poteri speciali a chi li consuma?",Rinascita Cosmica,6,179,Public
Easy,Quali piatti preparati con la tecnica Grigliatura a Energia Stellare DiV?,"Portale del Cosmo: Sinfonia di Sapori Multidimensionali, Stella Nova, Rivisitazione del Kraken sotto Molecole",7,"171,267,189",Private
Easy,Quali piatti sono preparati utilizzando la tecnica della Sferificazione a Gravità Psionica Variabile?,"Cosmic Serenade, Nebulosa Galattica, Cosmic Synchrony: Il Destino di Pulsar, Aurora del Cosmo, Fusione Celeste, Sinfonia Cosmica di Andromeda",8,"13,130,15,6,51,209",Public
Easy,Quali piatti sono preparati sia con la Marinatura Temporale Sincronizzata che con il Congelamento Bio-Luminiscente Sincronico?,"Sinfonia Cosmica del Multiverso, Galassia di Sapori Sublimi",9,"207,76",Private
Easy,Quali piatti eterei sono preparati usando sia la Cottura Olografica Quantum Fluttuante che la Decostruzione Interdimensionale Lovecraftiana?,"Risotto dei Multiversi, La Mucca Che Stordisce l'Universo, Sogni di Abisso Cosmico",10,"184,115,266",Public
Easy,Quali sono i piatti che combinano la saggezza del Riso di Cassandra e l'intrigante tocco della Polvere di Crononite?,Il Viaggio delle Dimensioni Confluenti,11,104,Private
Easy,"Quali sono i piatti che riescono a fondere la misteriosa Shard di Prisma Stellare con l'intrigante Sale Temporale, creando un'esperienza culinaria al di là del tempo e dello spazio?","Risveglio Cosmico, Sinfonia Quantistica delle Stelle",12,"185,240",Public
Easy,Quali piatti nel nostro repertorio includono le misteriose Teste di Idra e utilizzano la leggendaria tecnica di Cottura Sottovuoto Multirealità Collassante nella loro preparazione?,"Nebulare Asteroideo con Crepuscolo di Mucca, Sinfonia Astrale - Risotto Multiversale con Risacca Celeste",13,"125,197",Private
Easy,Quali piatti preparati con la Fermentazione Quantico Biometrica includono Erba Pipa tra gli ingredienti?,"Antipasto Celestiale, Il Viaggio Celeste, Galassia di Sogni Cosmogastronomici",14,"1,101,81",Public
Easy,Quali piatti prepari utilizzando esclusivamente la Sferificazione Filamentare a Molecole Vibrazionali e evitando completamente l'Amalgamazione Sintetica Molecolare?,"Pizza Gio, Serenata del Multiverso, Eclissi Quantica: Viaggio nei Reami del Gusto, Viaggio Cosmico nel Multiverso, Tris di Carne con Pane, Sinfonia degli Elementi Eterni, Panetto di Carne, Cosmic Harmony Infusion, Nebulare Asteroideo con Crepuscolo di Mucca, Eclissi Armonica di Sapori",15,"160,191,35,281,269,248,147,10,125,34",Private
